high,low,minimal,moderate,has_been_stable,has_decreased,has_increased,will_be_stable,will_decrease,will_increase,was_high,was_low,was_minimal,was_moderate,was1_high,was1_low,was1_minimal,was1_moderate,was2_high,was2_low,was2_minimal,was2_moderate,was3_high,was3_low,was3_minimal,was3_moderate,was4_high,was4_low,was4_minimal,was4_moderate,was52_high,was52_low,was52_minimal,was52_moderate,FWST,GLAK,MEST,NENG,PLNS,RKMT,SEST,SWST
yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no
yes,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no
